file,speaker,text
0d1c52d4b0,c57bb,अकबरका पुत्र
0ea6c90676,e4596,अक्षरलाई मेरो मोबाइलले
0e8b6bdb30,ee50f,अक्षौहिणी सेना थियो
0714685b35,55c0f,अक्सपोर्ड डिक्सनरीमा
04f00fe269,e3a27,अगस्तमा गरिन्छ र
05ab0fe95f,55451,अगाडि गरिदेऊ
02c420c4f4,22521,अगाडि पुगिसकेको थियो
0e3e19693b,41b2c,अगाडि पुगिसकेको थियो
053003d80f,1f680,अगाडि बढेको छ
0a93eed080,ccdde,अगाडि बढ्न
04da27bcbd,97b71,अगाडि यो एउटा
03d53bff27,fc62e,अगाडि लामो समय
06c96749ff,d241a,अगाडि सरेको थिएन
099b455e99,261b4,अगुवा भएको बताएपछि
08c4ae4138,e8b29,अग्रज पनि हुनुहुन्छ
072ed72d5d,ee253,अग्ला चारवटा
0700bd8adf,4b22c,अग्लो उठायौँ भने
031561e553,5e6be,अग्लो मन्डप बनाइयो
09672f92f9,e7c22,अग्लो मन्डप बनाइयो
0b5318748a,1d9ac,अघिको अवस्थामा देखिन्छ
0c279420bd,73d74,अघि सार्दै
0e901fc558,02e40,अङ्क अन्त्यमा बढी
0b67df6085,b9139,अङ्क पाइँदैन
0e06b8fa7f,e205b,अङ्कित छ
0f2defdcf4,62ba7,अङ्गहरूलाई दिन बिलम्ब
0201abd455,0234b,अङ्गहरू सुन्निएको अवस्थामा
04dde22022,e71d4,अङ्ग्रेजी नेपाली साझा
0dbd068935,2483a,अङ्ग्रेजी बैंकहरूका एक
0ac3a45a47,62ba7,अङ्ग्रेजीमा पाठ्यक्रमहरू लिनु
0dec9e43f1,b0f78,अङ्ग्रेजीमा फ्लाइब्रिज ओभरब्रिज
0fa17d59a2,a1c52,अङ्ग्रेजीमा लेख्न चाहेको
0830850d2b,99942,अङ्ग्रेजी मेँ नयाँ
0e5137ce2b,5297a,अचम्म त के छ भने
0836a49533,d4b2f,अचानक आक्रमण थियो
0f30689935,3a78c,अज्ञात थियो
0aa865142b,6f65d,अझ त्यस गाईले
01f9eec21b,056c7,अझ बढी जानकारी
078b3db39c,646f2,अझ बढी हुन्छ
0886adfcd4,6059d,अञ्चलको तेह्रथुम जिल्लामा
05f9a6cead,0bb95,अञ्चलको दोलखा जिल्लाको
03f144366e,2d618,अञ्चलको पर्सा जिल्लाको
06f22fb2b5,90c1c,अञ्चलको पाँचथर जिल्लाको
0dc60ada2e,6ee13,अञ्चलको ललितपुर जिल्लाको
0e3723c724,bad17,अञ्चलको सिन्धुली जिल्लामा
02f8670451,44345,अञ्चलको सोलुखुम्बु जिल्लाको
06458f45c7,76dab,अञ्चलमा पर्ने काठमाडौँ
0f019da96a,3c2c4,अञ्चल ललितपुर जिल्लाको
0c9b5e4d26,51175,अञ्‍चल समन्वय समितिका
0daa410e79,7ea66,अञ्चलहरू मिलेर विकास
070fec79fa,7470e,अटोटोमी भनिन्छ तर
00559002e5,4170b,अटोरिक्सा दिल्लीमा यातायातको
089b2f03c4,18008,अटोरिक्सा दिल्लीमा यातायातको
0fef71d0c8,5b437,अड्डाको एक परमाणु
05484280ae,25ff3,अड्याइएको छ
019bbeb19f,c135e,अत मेरो विचारमा
0d8d5cca68,cfa65,अति तिब्र बनाएका
01dac45c7d,83c93,अतिरिक्त टोकियोको लन्डन
0b5714473e,43655,अतिरिक्त भूमिको यस
05ec4e8edc,1b29c,अतीततिर लैजाने कवि काइँला
0025524348,deca4,अत्तो पत्तै थिएन
083f308659,916c6,अत्यन्तै रमणीय रहेकोले
0717bec554,0e059,अत्याधिक निर्भरताका कारण
0f029bd868,ca797,अत्याधिक सफल रहे
058a08fb69,6a57a,अत्योच्चावृत्ति कहलाउँछन्
0f74976351,f0b26,अथवा अधुरो छ
031203072a,99942,अदालतमा उजुर गरे
01dd3c20ca,29c22,अद्‌भूत क्षमताले मरुभूमीमा
0e741ffa20,73d74,अद्वितीय वरदानको रूपमा
09214c2c9f,20ebe,अधिक प्रकारका
008520f056,c0b4e,अधिक भारी बाउन्ने
05e9d62619,fb429,अधिक व्यय गर्नु पर्छ
0b2c582c51,4714f,अधिक शाक्तिशाली परमाणु
09614b17e4,882ce,अधिकारकर्मीहरूको भातभान्सा
00789e449f,555eb,अधिकारका मुद्दालाई विशेष
0313fadb5a,c4565,अधिकार कायम गरे
0929d70685,5a9c4,अधिकार जमाए
01adb36a22,61821,अधिकार पाउन थाले
02d9664a68,b0bba,अधिकार रहेको थियो
0a8630b315,63255,अधिकारलाई सम्मान गर्ने
08b58fd360,c536c,अधिकारी उपनिवेशमा रमका
027171f03f,c652e,अधिकारी पुरुष मानिन्छन्
04ee4a397c,2d618,अधिकारी हुन्
0d561c114e,1d480,अधिकांश अस्ट्रेलियाली
090bf5e34b,33d55,अधिदेवता अष्टवसु हुन्
0840ba66bf,daa0a,अधिन छैनन्
0421ab6a97,f9558,अध्यक्षता गरेका थिए
02fe5e02f9,646f2,अध्यक्ष पद छन्।
0002f96e3e,12e6a,अध्यक्ष पनि हुनुहुन्छ
01ed39becf,bc6b6,अध्यक्ष बनेकी भुसालले
0af1a187f6,885af,अध्यक्ष विनय थापासँग
0ee2cc240a,d514c,अध्ययन कलेज काठमाडौँ
0b5c0f0ba2,abc37,अध्ययनका लागि सिधै
0326a17acb,e2039,अध्ययन गरेर बाहिर
035d3e3c4f,5935d,अध्ययन गर्नुभएको छ
0e1600ac39,a2ab6,अध्ययन द नेटिव
095458665a,c4565,अध्ययन पुरा गरेका थिए
0b1ffad67c,1ad64,अध्ययनमा छ उहाँका
0dad78b01e,882ce,अध्ययन र लेखन
058f34cba0,90bdd,अध्यात्मका सच्चा
0f3becee36,dbd12,अध्यायहरूको सङ्ख्या
09515c5b28,d26e5,अनगिन्ती पुरस्कार
0b874b7529,3ed65,अनचाहे त्यसैलाई आफ्नो
026f9d13b8,09022,अनभिज्ञतावश आफूबाट ठूलो
